"id","make","price","mileage","seller_type"
1151,"Toyota",36993,3000,"dealer"
1152,"Fiat",23145,5000,"private"
1153,"Audi",8816,8000,"dealer"
1154,"Renault",34595,8000,"other"
1155,"Audi",42258,8500,"dealer"
1156,"Toyota",39732,2000,"private"
1157,"Renault",49627,9500,"other"
1158,"BWM",1172,2500,"other"
1159,"Toyota",44847,6500,"other"
1160,"Mercedes-Benz",13836,3000,"private"
1161,"Toyota",35621,3000,"dealer"
1162,"Mazda",3360,6500,"dealer"
1163,"Audi",46678,4000,"dealer"
1164,"Audi",24786,7000,"dealer"
1165,"Fiat",42864,5000,"dealer"
1166,"VW",29235,7500,"private"
1167,"Mercedes-Benz",4397,3500,"private"
1168,"Renault",39156,7000,"private"
1169,"Toyota",1520,5500,"other"
1170,"Mercedes-Benz",23955,8500,"dealer"
1171,"VW",25378,10000,"dealer"
1172,"Toyota",47046,9500,"dealer"
1173,"Toyota",30622,500,"other"
1174,"Mercedes-Benz",37981,1000,"private"
1175,"VW",32871,7000,"dealer"
1176,"Audi",5103,4500,"dealer"
1177,"VW",47658,2000,"private"
1178,"BWM",44877,6000,"private"
1179,"VW",24072,7500,"dealer"
1180,"Mercedes-Benz",46501,0,"dealer"
1181,"Renault",8933,3500,"other"
1182,"Mercedes-Benz",5214,6500,"other"
1183,"Mercedes-Benz",4118,8000,"other"
1184,"Toyota",26666,10000,"dealer"
1185,"VW",39426,1500,"dealer"
1186,"Fiat",28237,9000,"dealer"
1187,"Mercedes-Benz",5316,8000,"dealer"
1188,"BWM",25554,6500,"other"
1189,"Toyota",31080,9000,"other"
1190,"Renault",41948,2000,"dealer"
1191,"VW",1708,0,"private"
1192,"Renault",1594,2000,"other"
1193,"BWM",24495,4500,"dealer"
1194,"Mercedes-Benz",34012,6500,"dealer"
1195,"Toyota",29360,2500,"dealer"
1196,"Mercedes-Benz",29191,500,"other"
1197,"Mazda",40281,4500,"dealer"
1198,"Audi",39961,2000,"dealer"
1199,"Audi",26739,9000,"other"
1200,"Renault",45184,2000,"dealer"
1201,"Renault",8973,9500,"other"
1202,"Toyota",15512,9000,"private"
1203,"VW",20083,2500,"dealer"
1204,"Toyota",36895,3500,"other"
1205,"VW",27611,2500,"dealer"
1206,"Audi",41476,8500,"dealer"
1207,"Mazda",2920,8500,"dealer"
1208,"BWM",19596,7000,"private"
1209,"Renault",3109,9500,"private"
1210,"VW",42555,1000,"private"
1211,"Mercedes-Benz",37325,10000,"dealer"
1212,"Mazda",26517,5000,"dealer"
1213,"Audi",33258,7000,"dealer"
1214,"Toyota",19190,3500,"dealer"
1215,"Mazda",48868,500,"other"
1216,"Fiat",31127,5000,"dealer"
1217,"Mercedes-Benz",38765,0,"private"
1218,"Mazda",42629,5000,"dealer"
1219,"Mercedes-Benz",33301,9500,"private"
1220,"Fiat",16315,3000,"other"
1221,"VW",48223,3500,"dealer"
1222,"Mazda",37391,6500,"other"
1223,"Mazda",8953,6500,"other"
1224,"Mercedes-Benz",3548,3000,"other"
1225,"Renault",46639,7000,"other"
1226,"Renault",5394,9000,"dealer"
1227,"Fiat",20988,500,"dealer"
1228,"Toyota",12083,2500,"other"
1229,"VW",5741,7500,"other"
1230,"Fiat",32869,2500,"private"
1231,"Renault",34111,4500,"dealer"
1232,"Toyota",1114,5000,"private"
1233,"Audi",16250,4000,"other"
1234,"Mercedes-Benz",31889,9000,"dealer"
1235,"Mercedes-Benz",5847,5500,"dealer"
1236,"Mercedes-Benz",22684,3500,"other"
1237,"BWM",38264,10000,"private"
1238,"Toyota",35422,6000,"private"
1239,"Audi",5238,3000,"private"
1240,"BWM",21131,3000,"dealer"
1241,"Fiat",37559,10000,"other"
1242,"Mercedes-Benz",42212,8500,"dealer"
1243,"Fiat",47303,2000,"private"
1244,"Mazda",38397,2000,"other"
1245,"Fiat",42937,6500,"other"
1246,"Renault",44434,7000,"other"
1247,"Mazda",12951,5500,"dealer"
1248,"VW",12082,8000,"dealer"
1249,"Mazda",35783,8500,"other"
1250,"Renault",8446,5000,"dealer"
1251,"Toyota",37507,2000,"other"
1252,"VW",31741,1000,"dealer"
1253,"VW",7724,6000,"dealer"
1254,"Toyota",12179,8000,"other"
1255,"Mercedes-Benz",1558,3000,"dealer"
1256,"VW",21036,8500,"private"
1257,"Mercedes-Benz",2357,8000,"dealer"
1258,"Mazda",44776,1000,"dealer"
1259,"Fiat",17784,2500,"other"
1260,"BWM",1691,1000,"private"
1261,"Mercedes-Benz",38573,7500,"dealer"
1262,"Renault",43778,8000,"dealer"
1263,"Renault",952,6000,"dealer"
1264,"BWM",35913,1500,"private"
1265,"Fiat",9147,6500,"private"
1266,"Renault",33493,6000,"private"
1267,"BWM",39902,6000,"dealer"
1268,"Fiat",6955,6500,"private"
1269,"VW",11818,1500,"dealer"
1270,"Toyota",13925,9500,"other"
1271,"Mercedes-Benz",47165,6500,"private"
1272,"Toyota",43327,2000,"private"
1273,"Toyota",27648,7000,"other"
1274,"Mazda",10639,9000,"other"
1275,"Mazda",15705,7000,"other"
1276,"Renault",46879,3500,"private"
1277,"Toyota",4745,7000,"dealer"
1278,"Audi",48593,5500,"dealer"
1279,"Toyota",46376,5500,"other"
1280,"BWM",12529,6000,"private"
1281,"Mazda",376,9500,"other"
1282,"VW",3682,8500,"private"
1283,"Mazda",15668,5000,"dealer"
1284,"Renault",38361,1000,"other"
1285,"Fiat",28621,2000,"private"
1286,"BWM",23002,2000,"dealer"
1287,"Mercedes-Benz",46499,3000,"other"
1288,"VW",48205,4500,"other"
1289,"Mercedes-Benz",32480,9500,"dealer"
1290,"Audi",43005,7000,"other"
1291,"Toyota",23170,500,"dealer"
1292,"Mazda",42531,6500,"private"
1293,"Renault",7656,4000,"private"
1294,"Mercedes-Benz",5682,4000,"dealer"
1295,"Mazda",12095,3500,"private"
1296,"Mazda",46615,3500,"other"
1297,"Toyota",7478,5500,"private"
1298,"Mazda",15989,6500,"dealer"
1299,"Fiat",19832,8000,"private"
